AphiaID,species,ecoregion,taxa
105928,Squatina squatina,Black Sea,Fish
105856,Gymnura altavela,Black Sea,Fish
126279,Acipenser sturio,Black Sea,Fish
126275,Acipenser gueldenstaedtii,Black Sea,Fish
126278,Acipenser stellatus,Black Sea,Fish
233941,Acipenser ruthenus,Black Sea,Fish
126280,Huso huso,Black Sea,Fish
105928,Squatina squatina,Adriatic Sea,Fish
105926,Squatina aculeata,Adriatic Sea,Fish
105927,Squatina oculata,Adriatic Sea,Fish
711846,Dipturus intermedius,Adriatic Sea,Fish
105869,Dipturus batis,Adriatic Sea,Fish
105838,Carcharodon carcharias,Adriatic Sea,Fish
105898,Rhinobatos rhinobatos,Adriatic Sea,Fish
1016062,Glaucostegus cemiculus,Adriatic Sea,Fish
105875,Leucoraja melitensis,Adriatic Sea,Fish
105843,Carcharias taurus,Adriatic Sea,Fish
105844,Odontaspis ferox,Adriatic Sea,Fish
105856,Gymnura altavela,Adriatic Sea,Fish
126279,Acipenser sturio,Adriatic Sea,Fish
126276,Acipenser naccarii,Adriatic Sea,Fish
126275,Acipenser gueldenstaedtii,Adriatic Sea,Fish
126280,Huso huso,Adriatic Sea,Fish
105837,Cetorhinus maximus,Adriatic Sea,Fish
105928,Squatina squatina,Aegean-Levantine Sea,Fish
105926,Squatina aculeata,Aegean-Levantine Sea,Fish
105927,Squatina oculata,Aegean-Levantine Sea,Fish
711846,Dipturus intermedius,Aegean-Levantine Sea,Fish
105869,Dipturus batis,Aegean-Levantine Sea,Fish
105838,Carcharodon carcharias,Aegean-Levantine Sea,Fish
105898,Rhinobatos rhinobatos,Aegean-Levantine Sea,Fish
1016062,Glaucostegus cemiculus,Aegean-Levantine Sea,Fish
105875,Leucoraja melitensis,Aegean-Levantine Sea,Fish
105843,Carcharias taurus,Aegean-Levantine Sea,Fish
105844,Odontaspis ferox,Aegean-Levantine Sea,Fish
105856,Gymnura altavela,Aegean-Levantine Sea,Fish
126279,Acipenser sturio,Aegean-Levantine Sea,Fish
126276,Acipenser naccarii,Aegean-Levantine Sea,Fish
126275,Acipenser gueldenstaedtii,Aegean-Levantine Sea,Fish
126280,Huso huso,Aegean-Levantine Sea,Fish
105837,Cetorhinus maximus,Aegean-Levantine Sea,Fish
105928,Squatina squatina,Ionian Sea and the Central Mediterranean Sea,Fish
105926,Squatina aculeata,Ionian Sea and the Central Mediterranean Sea,Fish
105927,Squatina oculata,Ionian Sea and the Central Mediterranean Sea,Fish
711846,Dipturus intermedius,Ionian Sea and the Central Mediterranean Sea,Fish
105869,Dipturus batis,Ionian Sea and the Central Mediterranean Sea,Fish
105838,Carcharodon carcharias,Ionian Sea and the Central Mediterranean Sea,Fish
105898,Rhinobatos rhinobatos,Ionian Sea and the Central Mediterranean Sea,Fish
1016062,Glaucostegus cemiculus,Ionian Sea and the Central Mediterranean Sea,Fish
105875,Leucoraja melitensis,Ionian Sea and the Central Mediterranean Sea,Fish
105843,Carcharias taurus,Ionian Sea and the Central Mediterranean Sea,Fish
105844,Odontaspis ferox,Ionian Sea and the Central Mediterranean Sea,Fish
105856,Gymnura altavela,Ionian Sea and the Central Mediterranean Sea,Fish
126279,Acipenser sturio,Ionian Sea and the Central Mediterranean Sea,Fish
126276,Acipenser naccarii,Ionian Sea and the Central Mediterranean Sea,Fish
126275,Acipenser gueldenstaedtii,Ionian Sea and the Central Mediterranean Sea,Fish
126280,Huso huso,Ionian Sea and the Central Mediterranean Sea,Fish
105837,Cetorhinus maximus,Ionian Sea and the Central Mediterranean Sea,Fish
105928,Squatina squatina,Western Mediterranean Sea,Fish
105926,Squatina aculeata,Western Mediterranean Sea,Fish
105927,Squatina oculata,Western Mediterranean Sea,Fish
711846,Dipturus intermedius,Western Mediterranean Sea,Fish
105869,Dipturus batis,Western Mediterranean Sea,Fish
105838,Carcharodon carcharias,Western Mediterranean Sea,Fish
105898,Rhinobatos rhinobatos,Western Mediterranean Sea,Fish
1016062,Glaucostegus cemiculus,Western Mediterranean Sea,Fish
105875,Leucoraja melitensis,Western Mediterranean Sea,Fish
105843,Carcharias taurus,Western Mediterranean Sea,Fish
105844,Odontaspis ferox,Western Mediterranean Sea,Fish
105856,Gymnura altavela,Western Mediterranean Sea,Fish
126279,Acipenser sturio,Western Mediterranean Sea,Fish
126276,Acipenser naccarii,Western Mediterranean Sea,Fish
126275,Acipenser gueldenstaedtii,Western Mediterranean Sea,Fish
126280,Huso huso,Western Mediterranean Sea,Fish
105837,Cetorhinus maximus,Western Mediterranean Sea,Fish
NA,caretta caretta,Adriatic Sea,marine Turtles
NA,grampus griseus,Adriatic Sea,Mammals
NA,dermochelys coriacea,Adriatic Sea,marine Turtles
NA,tursiops truncatus,Adriatic Sea,Mammals
NA,monachus monachus,Adriatic Sea,Mammals
NA,phocoena phocoena,Adriatic Sea,Mammals
NA,morus bassanus,Adriatic Sea,Birds
NA,globicephala melas,Adriatic Sea,Mammals
